order,id,date,time,title,url,visitCount,typedCount,transition
12,6625,5/4/2024,8:28:27,Top 10 Sentiment Analysis Projects and Datasets,https://www.interviewquery.com/p/sentiment-analysis-projects-and-datasets,3,0,link
13,6624,5/4/2024,8:28:24,Sentiment Analysis Project — with traditional ML & NLP | by Skillcate AI | Medium,https://medium.com/@skillcate/sentiment-analysis-project-with-traditional-ml-nlp-349185bf98dd,1,0,link
14,6622,5/4/2024,8:28:20,what are some of the best sentimental analysis project ? - Google Search,https://www.google.com/search?q=what+are+some+of+the+best+sentimental+analysis+project+%3F&rlz=1C1CHBF_en-GBNP1105NP1105&oq=what+are+some+of+the+best+sentimental+analysis+project+%3F&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIJCAEQIRgKGKABMgkIAhAhGAoYoAEyCQgDECEYChigATIJCAQQIRgKGKAB0gEIOTM4NWowajGoAgCwAgA&sourceid=chrome&ie=UTF-8,3,0,generated
15,6623,5/4/2024,8:27:49,10 Sentiment Analysis Project Ideas with Source Code [2024],https://www.projectpro.io/article/sentiment-analysis-project-ideas-with-source-code/518,1,0,link
16,6622,5/4/2024,8:27:45,what are some of the best sentimental analysis project ? - Google Search,https://www.google.com/search?q=what+are+some+of+the+best+sentimental+analysis+project+%3F&rlz=1C1CHBF_en-GBNP1105NP1105&oq=what+are+some+of+the+best+sentimental+analysis+project+%3F&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIJCAEQIRgKGKABMgkIAhAhGAoYoAEyCQgDECEYChigATIJCAQQIRgKGKAB0gEIOTM4NWowajGoAgCwAgA&sourceid=chrome&ie=UTF-8,3,0,link
17,6622,5/4/2024,8:27:45,what are some of the best sentimental analysis project ? - Google Search,https://www.google.com/search?q=what+are+some+of+the+best+sentimental+analysis+project+%3F&rlz=1C1CHBF_en-GBNP1105NP1105&oq=what+are+some+of+the+best+sentimental+analysis+project+%3F&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIJCAEQIRgKGKABMgkIAhAhGAoYoAEyCQgDECEYChigATIJCAQQIRgKGKAB0gEIOTM4NWowajGoAgCwAgA&sourceid=chrome&ie=UTF-8,3,0,generated
18,6283,5/4/2024,8:25:13,Ate329/SentiMusic: A text-to-audio application that turns words and sentiments into melodies.,https://github.com/Ate329/SentiMusic,12,0,link
19,6283,5/4/2024,8:25:10,Ate329/SentiMusic: A text-to-audio application that turns words and sentiments into melodies.,https://github.com/Ate329/SentiMusic,12,0,link
20,6283,5/4/2024,8:25:09,Ate329/SentiMusic: A text-to-audio application that turns words and sentiments into melodies.,https://github.com/Ate329/SentiMusic,12,0,link
21,6283,5/4/2024,8:25:09,Ate329/SentiMusic: A text-to-audio application that turns words and sentiments into melodies.,https://github.com/Ate329/SentiMusic,12,0,link
22,6282,5/4/2024,8:25:02,SentiMusic - Backdrop Build,https://backdropbuild.com/builds/v3/emotion-detector,6,0,link
23,6618,5/4/2024,8:24:54,Backdrop Build - Builds,https://backdropbuild.com/builds?tracks=ai,4,0,link
24,6621,5/4/2024,8:24:09,Natural Language API - Backdrop Build,https://backdropbuild.com/builds/v3/natural-language-api,1,0,link
25,6618,5/4/2024,8:23:56,Backdrop Build - Builds,https://backdropbuild.com/builds?tracks=ai,4,0,link
26,6620,5/4/2024,8:23:15,Personalized AI News Podcast - Backdrop Build,https://backdropbuild.com/builds/v2/personalized-ai-news-podcast,1,0,link
27,6618,5/4/2024,8:22:50,Backdrop Build - Builds,https://backdropbuild.com/builds?tracks=ai,4,0,link
28,6619,5/4/2024,8:22:15,Nur AI - Backdrop Build,https://backdropbuild.com/builds/v3/nur,1,0,link
29,6618,5/4/2024,8:22:04,Backdrop Build - Builds,https://backdropbuild.com/builds?tracks=ai,4,0,link
30,6617,5/4/2024,8:18:45,ChatGPT,https://chatgpt.com/c/11c9399e-ed21-4404-bb5c-4333080b0775,1,0,link
31,6616,5/4/2024,8:18:43,How can I access GPT-4? | OpenAI Help Center,https://help.openai.com/en/articles/7102672-how-can-i-access-gpt-4,2,0,link
32,6616,5/4/2024,8:18:43,How can I access GPT-4? | OpenAI Help Center,https://help.openai.com/en/articles/7102672-how-can-i-access-gpt-4,2,0,link
33,6615,5/4/2024,8:17:54,ChatGPT,https://chatgpt.com/,1,0,form_submit
34,6614,5/4/2024,8:17:54,,https://chat.openai.com/domain_migration?next=https%3A%2F%2Fchatgpt.com%2F,1,0,form_submit
35,44,5/4/2024,8:17:53,ChatGPT,https://chat.openai.com/,292,104,typed
36,1847,5/4/2024,8:16:28,"AnamolZ/Sentiment_Analysis: The script utilizes the popular scikit-learn library for machine learning and NLP tasks. It demonstrates how to preprocess textual data, vectorize it using Term Frequency-Inverse Document Frequency (TF-IDF) representation, train a Linear Support Vector Machine classifier, and make predictions on new user input.",https://github.com/AnamolZ/Sentiment_Analysis,16,0,link
37,1847,5/4/2024,8:16:28,"AnamolZ/Sentiment_Analysis: The script utilizes the popular scikit-learn library for machine learning and NLP tasks. It demonstrates how to preprocess textual data, vectorize it using Term Frequency-Inverse Document Frequency (TF-IDF) representation, train a Linear Support Vector Machine classifier, and make predictions on new user input.",https://github.com/AnamolZ/Sentiment_Analysis,16,0,link
38,1847,5/4/2024,8:16:28,"AnamolZ/Sentiment_Analysis: The script utilizes the popular scikit-learn library for machine learning and NLP tasks. It demonstrates how to preprocess textual data, vectorize it using Term Frequency-Inverse Document Frequency (TF-IDF) representation, train a Linear Support Vector Machine classifier, and make predictions on new user input.",https://github.com/AnamolZ/Sentiment_Analysis,16,0,link
39,1847,5/4/2024,8:16:27,"AnamolZ/Sentiment_Analysis: The script utilizes the popular scikit-learn library for machine learning and NLP tasks. It demonstrates how to preprocess textual data, vectorize it using Term Frequency-Inverse Document Frequency (TF-IDF) representation, train a Linear Support Vector Machine classifier, and make predictions on new user input.",https://github.com/AnamolZ/Sentiment_Analysis,16,0,link
40,492,5/4/2024,8:16:27,Your Repositories,https://github.com/AnamolZ?tab=repositories,187,0,link
41,492,5/4/2024,8:16:27,Your Repositories,https://github.com/AnamolZ?tab=repositories,187,0,link
42,492,5/4/2024,8:16:16,Your Repositories,https://github.com/AnamolZ?tab=repositories,187,0,link
43,492,5/4/2024,8:16:16,Your Repositories,https://github.com/AnamolZ?tab=repositories,187,0,link
44,492,5/4/2024,8:16:16,Your Repositories,https://github.com/AnamolZ?tab=repositories,187,0,link
45,492,5/4/2024,8:16:15,Your Repositories,https://github.com/AnamolZ?tab=repositories,187,0,link
46,220,5/4/2024,8:16:09,GitHub,https://github.com/,168,53,typed
47,6274,5/4/2024,8:16:02,Backdrop Build - Build Settings,https://backdropbuild.com/v4/usentiai/manage,3,0,link
48,6272,5/4/2024,8:16:00,Backdrop Build - Your tech,https://backdropbuild.com/v4/usentiai/tech,4,0,link
49,6269,5/4/2024,8:15:46,USentiAI - Backdrop Build,https://backdropbuild.com/v4/usentiai,9,0,link
50,6281,5/4/2024,8:15:41,Backdrop Build - Builds,https://backdropbuild.com/builds,15,0,link
51,6613,5/4/2024,8:15:05,XO Brain,https://xobrain.ai/,3,0,link
52,6613,5/4/2024,8:15:01,XO Brain,https://xobrain.ai/,3,0,link
53,6613,5/4/2024,8:14:59,XO Brain,https://xobrain.ai/,3,0,link
54,6612,5/4/2024,8:14:48,xoBrain.Ai - Backdrop Build,https://backdropbuild.com/builds/v3/xo-brain-ai,1,0,link
55,6281,5/4/2024,8:14:41,Backdrop Build - Builds,https://backdropbuild.com/builds,15,0,link
56,6281,5/4/2024,8:14:40,Backdrop Build - Builds,https://backdropbuild.com/builds,15,0,link
57,6280,5/4/2024,8:14:18,Backdrop Build - Settings,https://backdropbuild.com/settings,5,0,link
58,6598,5/4/2024,8:14:10,Backdrop Build v4,https://backdropbuild.com/v4,3,0,link
59,6598,5/4/2024,8:14:10,Backdrop Build v4,https://backdropbuild.com/v4,3,0,link
60,6609,5/4/2024,8:13:19,Welcome to Build v4 onboarding week - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop/FMfcgzGxStwKzDZLLSgnHvZdQSrcsKTr,2,0,link
61,6609,5/4/2024,8:13:19,Welcome to Build v4 onboarding week - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop/FMfcgzGxStwKzDZLLSgnHvZdQSrcsKTr,2,0,link
62,6592,5/4/2024,8:13:15,Search results - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop,10,0,link
63,6592,5/4/2024,8:13:15,Search results - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop,10,0,link
64,6603,5/4/2024,8:12:40,Explore | Sieve,https://www.sievedata.com/explore,5,0,link
65,6603,5/4/2024,8:12:40,Explore | Sieve,https://www.sievedata.com/explore,5,0,link
66,6608,5/4/2024,8:12:23,Conftee - Backdrop Build,https://backdropbuild.com/builds/v4/conftee,2,0,link
67,6607,5/4/2024,8:12:22,Brey Rivera - Backdrop Build,https://backdropbuild.com/builders/breyr2021,2,0,link
68,6608,5/4/2024,8:12:03,Conftee - Backdrop Build,https://backdropbuild.com/builds/v4/conftee,2,0,link
69,6607,5/4/2024,8:11:56,Brey Rivera - Backdrop Build,https://backdropbuild.com/builders/breyr2021,2,0,link
70,6600,5/4/2024,8:11:54,Backdrop Build - Builders,https://backdropbuild.com/builders?cohorts=v4,4,0,link
71,6600,5/4/2024,8:11:54,Backdrop Build - Builders,https://backdropbuild.com/builders?cohorts=v4,4,0,link
72,6606,5/4/2024,8:11:50,MD Jamil Kashem Porosh - Backdrop Build,https://backdropbuild.com/builders/jamilkashem,1,0,link
73,6273,5/4/2024,8:11:06,Build v4 - Tech partners,https://backdropbuild.com/v4/partners/neynar,4,0,link
74,6273,5/4/2024,8:11:05,Build v4 - Tech partners,https://backdropbuild.com/v4/partners/neynar,4,0,link
75,6605,5/4/2024,8:10:47,Build v4 - Tech partners,https://backdropbuild.com/v4/partners/runpod,2,0,link
76,6605,5/4/2024,8:10:45,Build v4 - Tech partners,https://backdropbuild.com/v4/partners/runpod,2,0,link
77,6604,5/4/2024,8:10:25,Video Transcript Analyzer by Sieve — Run with an API,https://www.sievedata.com/functions/sieve/video_transcript_analyzer,1,0,link
78,6603,5/4/2024,8:10:14,Explore | Sieve,https://www.sievedata.com/explore,5,0,link
79,6603,5/4/2024,8:10:13,Explore | Sieve,https://www.sievedata.com/explore,5,0,link
80,6603,5/4/2024,8:10:13,Explore | Sieve,https://www.sievedata.com/explore,5,0,link
81,6602,5/4/2024,8:10:00,Build v4 - Tech partners,https://backdropbuild.com/v4/partners/sieve,1,0,link
82,6601,5/4/2024,8:08:25,Build v4 - Tech partners,https://backdropbuild.com/v4/partners/devii,2,0,link
83,6601,5/4/2024,8:08:25,Build v4 - Tech partners,https://backdropbuild.com/v4/partners/devii,2,0,link
84,6600,5/4/2024,8:08:04,Backdrop Build - Builders,https://backdropbuild.com/builders?cohorts=v4,4,0,link
85,6600,5/4/2024,8:08:04,Backdrop Build - Builders,https://backdropbuild.com/builders?cohorts=v4,4,0,link
86,6280,5/4/2024,8:07:58,Backdrop Build - Settings,https://backdropbuild.com/settings,5,0,link
87,6280,5/4/2024,8:07:58,Backdrop Build - Settings,https://backdropbuild.com/settings,5,0,link
88,6597,5/4/2024,8:07:52,Build v4 - Tech partners,https://backdropbuild.com/v4/partners,4,0,link
89,6597,5/4/2024,8:07:52,Build v4 - Tech partners,https://backdropbuild.com/v4/partners,4,0,link
90,6599,5/4/2024,8:07:46,Build v4 - What to build,https://backdropbuild.com/v4/what-to-build,2,0,link
91,6599,5/4/2024,8:07:45,Build v4 - What to build,https://backdropbuild.com/v4/what-to-build,2,0,link
92,6598,5/4/2024,8:07:34,Backdrop Build v4,https://backdropbuild.com/v4,3,0,link
93,6597,5/4/2024,8:07:30,Build v4 - Tech partners,https://backdropbuild.com/v4/partners,4,0,link
94,6597,5/4/2024,8:07:30,Build v4 - Tech partners,https://backdropbuild.com/v4/partners,4,0,link
95,6274,5/4/2024,8:07:20,Backdrop Build - Build Settings,https://backdropbuild.com/v4/usentiai/manage,3,0,link
96,6269,5/4/2024,8:07:17,USentiAI - Backdrop Build,https://backdropbuild.com/v4/usentiai,9,0,link
97,6269,5/4/2024,8:07:15,USentiAI - Backdrop Build,https://backdropbuild.com/v4/usentiai,9,0,link
98,6271,5/4/2024,8:07:13,Backdrop Build,https://backdropbuild.com/,6,1,link
99,6271,5/4/2024,8:07:13,Backdrop Build,https://backdropbuild.com/,6,1,typed
100,6275,5/4/2024,8:07:01,USentiAI - Backdrop Build,https://backdropbuild.com/builds/v4/usentiai,14,1,link
101,6275,5/4/2024,8:06:59,USentiAI - Backdrop Build,https://backdropbuild.com/builds/v4/usentiai,14,1,typed
102,6596,5/4/2024,8:06:25,Build v4 onboarding week starts Monday - get ready to build! - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop/FMfcgzGxStrhLDhxhcHhFdlDrXdgnWJD,2,0,link
103,6596,5/4/2024,8:06:25,Build v4 onboarding week starts Monday - get ready to build! - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop/FMfcgzGxStrhLDhxhcHhFdlDrXdgnWJD,2,0,link
104,6592,5/4/2024,8:06:24,Search results - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop,10,0,link
105,6592,5/4/2024,8:06:24,Search results - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop,10,0,link
106,6595,5/4/2024,8:06:22,USentiAI is ready on Backdrop Build - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop/FMfcgzGxSbmKWDpGRTBfsjfnDCcftFTm,2,0,link
107,6595,5/4/2024,8:06:22,USentiAI is ready on Backdrop Build - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop/FMfcgzGxSbmKWDpGRTBfsjfnDCcftFTm,2,0,link
108,6592,5/4/2024,8:06:21,Search results - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop,10,0,link
109,6592,5/4/2024,8:06:21,Search results - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop,10,0,link
110,6594,5/4/2024,8:06:19,You're in! - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop/FMfcgzGxSbmKMblZfQrrbnRpWZrMnsvX,2,0,link
111,6594,5/4/2024,8:06:19,You're in! - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop/FMfcgzGxSbmKMblZfQrrbnRpWZrMnsvX,2,0,link
112,6592,5/4/2024,8:06:17,Search results - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop,10,0,link
113,6592,5/4/2024,8:06:17,Search results - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop,10,0,link
114,6593,5/4/2024,8:05:42,Sentiment_Analysis - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop/FMfcgzGxSRJwgbmvpRFjTxKbzBQWDLbf,2,0,link
115,6593,5/4/2024,8:05:42,Sentiment_Analysis - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop/FMfcgzGxSRJwgbmvpRFjTxKbzBQWDLbf,2,0,link
116,6592,5/4/2024,8:05:40,Search results - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop,10,0,link
117,6592,5/4/2024,8:05:39,Search results - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#search/backdrop,10,0,link
118,69,5/4/2024,8:05:30,Inbox - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/#inbox,363,0,link
119,71,5/4/2024,8:05:28,Inbox - anmoldkl971@gmail.com - Gmail,https://mail.google.com/mail/u/0/,118,0,typed
120,684,5/4/2024,8:05:26,Facebook,https://www.facebook.com/,326,119,typed
121,445,5/4/2024,8:05:13,daily.dev | Where developers grow together,https://app.daily.dev/,384,0,link
122,445,5/4/2024,8:05:11,daily.dev | Where developers grow together,https://app.daily.dev/,384,0,link
123,445,5/4/2024,8:05:11,daily.dev | Where developers grow together,https://app.daily.dev/,384,0,auto_toplevel
124,6571,5/4/2024,0:05:20,Facebook,https://www.facebook.com/indira.lamsal.56,3,0,link
125,6591,5/4/2024,0:05:15,Facebook,https://www.facebook.com/100095449241766/videos/pcb.142053755652932/1022667272392083,1,0,link
126,684,5/4/2024,0:03:13,Facebook,https://www.facebook.com/,326,119,link
127,684,5/4/2024,0:02:52,Facebook,https://www.facebook.com/,326,119,link
128,6573,5/4/2024,0:02:50,Facebook,https://www.facebook.com/sangita.ghimire2,4,0,link
129,6590,5/4/2024,0:02:45,Facebook,https://www.facebook.com/photo/?fbid=10002440083162618&set=pob.100002497122164,1,0,link
130,6573,5/4/2024,0:01:59,Facebook,https://www.facebook.com/sangita.ghimire2,4,0,link
131,6589,5/4/2024,0:01:57,Facebook,https://www.facebook.com/photo/?fbid=7408879725871858&set=pcb.7408880519205112,1,0,link
132,6588,5/4/2024,0:01:57,Facebook,https://www.facebook.com/photo/?fbid=7408879515871879&set=pcb.7408880519205112,1,0,link
133,6587,5/4/2024,0:01:56,Facebook,https://www.facebook.com/photo/?fbid=7408879352538562&set=pcb.7408880519205112,1,0,link
134,6586,5/4/2024,0:01:55,Facebook,https://www.facebook.com/photo/?fbid=7408879162538581&set=pcb.7408880519205112,1,0,link
135,6585,5/4/2024,0:01:54,Facebook,https://www.facebook.com/photo/?fbid=7408878955871935&set=pcb.7408880519205112,1,0,link
136,6584,5/4/2024,0:01:54,Facebook,https://www.facebook.com/photo/?fbid=7408878719205292&set=pcb.7408880519205112,1,0,link
137,6583,5/4/2024,0:01:53,Facebook,https://www.facebook.com/photo/?fbid=7408878395871991&set=pcb.7408880519205112,1,0,link
138,6582,5/4/2024,0:01:52,Facebook,https://www.facebook.com/photo/?fbid=7408878172538680&set=pcb.7408880519205112,1,0,link
139,6581,5/4/2024,0:01:51,Facebook,https://www.facebook.com/photo/?fbid=7408877895872041&set=pcb.7408880519205112,1,0,link
140,6580,5/4/2024,0:01:50,Facebook,https://www.facebook.com/photo/?fbid=7408877679205396&set=pcb.7408880519205112,1,0,link
141,6579,5/4/2024,0:01:50,Facebook,https://www.facebook.com/photo?fbid=7408877485872082&set=pcb.7408880519205112,1,0,link
142,6578,5/4/2024,0:01:49,Facebook,https://www.facebook.com/photo?fbid=7408877302538767&set=pcb.7408880519205112,1,0,link
143,6577,5/4/2024,0:01:47,Facebook,https://www.facebook.com/photo?fbid=7408877129205451&set=pcb.7408880519205112,1,0,link
144,6576,5/4/2024,0:01:46,Facebook,https://www.facebook.com/photo?fbid=7408876939205470&set=pcb.7408880519205112,1,0,link
145,6575,5/4/2024,0:01:45,Facebook,https://www.facebook.com/photo/?fbid=7408876705872160&set=pcb.7408880519205112,1,0,link
146,6573,5/4/2024,0:01:30,Facebook,https://www.facebook.com/sangita.ghimire2,4,0,link
147,6574,5/4/2024,0:01:26,Facebook,https://www.facebook.com/photo/?fbid=7436128129813684&set=pcb.7436136593146171,1,0,link
148,6573,5/4/2024,0:00:38,Facebook,https://www.facebook.com/sangita.ghimire2,4,0,link
149,6570,5/3/2024,23:59:21,Facebook,https://www.facebook.com/nirmala.nepal.9674,3,0,link
150,6572,5/3/2024,23:59:17,Facebook,https://www.facebook.com/photo/?fbid=853966932780873&set=a.101494848028089,1,0,link
151,6571,5/3/2024,23:58:31,Facebook,https://www.facebook.com/indira.lamsal.56,3,0,link
152,6571,5/3/2024,23:58:30,Facebook,https://www.facebook.com/indira.lamsal.56,3,0,link
153,6570,5/3/2024,23:58:13,Facebook,https://www.facebook.com/nirmala.nepal.9674,3,0,link
154,6570,5/3/2024,23:58:13,Facebook,https://www.facebook.com/nirmala.nepal.9674,3,0,link
155,6569,5/3/2024,23:56:18,Manju Dhakal | Facebook,https://www.facebook.com/sampada.dhakal.549/friends_all,1,0,link
156,6568,5/3/2024,23:55:51,Manju Dhakal | Facebook,https://www.facebook.com/sampada.dhakal.549/friends_recent,1,0,link
157,6567,5/3/2024,23:55:39,Manju Dhakal | Facebook,https://www.facebook.com/sampada.dhakal.549/following,1,0,link
158,6566,5/3/2024,23:55:08,Manju Dhakal | Facebook,https://www.facebook.com/sampada.dhakal.549/friends,1,0,link
159,2158,5/3/2024,23:54:58,Facebook,https://www.facebook.com/sampada.dhakal.549,8,0,link
160,6565,5/3/2024,23:54:57,Facebook,https://www.facebook.com/stories/110146767074987/UzpfSVNDOjQ0NjQ1MDk2ODA2OTU4Ng==/?bucket_count=9&source=story_tray,1,0,link
161,684,5/3/2024,23:53:52,Facebook,https://www.facebook.com/,326,119,link
162,6564,5/3/2024,23:53:41,Facebook,https://www.facebook.com/stories/101610649519963/UzpfSVNDOjE0Njg3ODg5NDQwMzcxNzE=/?bucket_count=9&source=story_tray,1,0,link
163,684,5/3/2024,23:53:18,Facebook,https://www.facebook.com/,326,119,link
164,1685,5/3/2024,23:53:12,Anamol Dhakal,https://www.anamoldhakal.com.np/index.html,6,0,link
165,6563,5/3/2024,23:53:01,Subrat's Blog,https://www.anamoldhakal.com.np/single-blog/blog1.html?fbclid=IwZXh0bgNhZW0CMTEAAR2eVu68FVqwbYQ2Ats6fARsIMw16cRaDfgKadWlCUsDesYqgGmJ6tYyRL4_aem_AXLeLrJkP4SXL_5vkXXH-dkasKVEDu4yxuY4v_tQsR6BAgORavJUthA0PiTmoS6MTkFqQUpHGnkKd6yghGE4Ycok,1,0,link
166,2166,5/3/2024,23:52:32,Facebook,https://www.facebook.com/parsuram0007,7,0,link
167,6559,5/3/2024,23:52:30,Facebook,https://www.facebook.com/photo/?fbid=409533131976426&set=pcb.408901818706224,10,0,link
168,6558,5/3/2024,23:52:29,Facebook,https://www.facebook.com/photo?fbid=409533088643097&set=pcb.408901818706224,10,0,link
169,6559,5/3/2024,23:52:29,Facebook,https://www.facebook.com/photo/?fbid=409533131976426&set=pcb.408901818706224,10,0,link
170,6558,5/3/2024,23:52:28,Facebook,https://www.facebook.com/photo?fbid=409533088643097&set=pcb.408901818706224,10,0,link
171,6557,5/3/2024,23:52:28,Facebook,https://www.facebook.com/photo?fbid=409533031976436&set=pcb.408901818706224,10,0,link
172,6556,5/3/2024,23:52:28,Facebook,https://www.facebook.com/photo?fbid=409532961976443&set=pcb.408901818706224,10,0,link
173,6555,5/3/2024,23:52:27,Facebook,https://www.facebook.com/photo?fbid=409532908643115&set=pcb.408901818706224,10,0,link
174,6561,5/3/2024,23:52:17,Facebook,https://www.facebook.com/photo?fbid=408902298706176&set=pcb.408901818706224,7,0,link
175,6560,5/3/2024,23:52:17,Facebook,https://www.facebook.com/photo/?fbid=409534351976304&set=pcb.408901818706224,8,0,link
176,6559,5/3/2024,23:52:15,Facebook,https://www.facebook.com/photo/?fbid=409533131976426&set=pcb.408901818706224,10,0,link
177,6560,5/3/2024,23:52:15,Facebook,https://www.facebook.com/photo/?fbid=409534351976304&set=pcb.408901818706224,8,0,link
178,6559,5/3/2024,23:52:14,Facebook,https://www.facebook.com/photo/?fbid=409533131976426&set=pcb.408901818706224,10,0,link
179,6558,5/3/2024,23:52:13,Facebook,https://www.facebook.com/photo?fbid=409533088643097&set=pcb.408901818706224,10,0,link
180,6557,5/3/2024,23:52:13,Facebook,https://www.facebook.com/photo?fbid=409533031976436&set=pcb.408901818706224,10,0,link
181,6556,5/3/2024,23:52:13,Facebook,https://www.facebook.com/photo?fbid=409532961976443&set=pcb.408901818706224,10,0,link
182,6555,5/3/2024,23:52:12,Facebook,https://www.facebook.com/photo?fbid=409532908643115&set=pcb.408901818706224,10,0,link
183,6561,5/3/2024,23:52:11,Facebook,https://www.facebook.com/photo?fbid=408902298706176&set=pcb.408901818706224,7,0,link
184,6555,5/3/2024,23:52:09,Facebook,https://www.facebook.com/photo?fbid=409532908643115&set=pcb.408901818706224,10,0,link
185,6556,5/3/2024,23:52:08,Facebook,https://www.facebook.com/photo?fbid=409532961976443&set=pcb.408901818706224,10,0,link
186,6557,5/3/2024,23:52:07,Facebook,https://www.facebook.com/photo?fbid=409533031976436&set=pcb.408901818706224,10,0,link
187,6556,5/3/2024,23:52:07,Facebook,https://www.facebook.com/photo?fbid=409532961976443&set=pcb.408901818706224,10,0,link
188,6557,5/3/2024,23:52:06,Facebook,https://www.facebook.com/photo?fbid=409533031976436&set=pcb.408901818706224,10,0,link
189,6558,5/3/2024,23:52:06,Facebook,https://www.facebook.com/photo?fbid=409533088643097&set=pcb.408901818706224,10,0,link
190,6557,5/3/2024,23:52:05,Facebook,https://www.facebook.com/photo?fbid=409533031976436&set=pcb.408901818706224,10,0,link
191,6558,5/3/2024,23:52:05,Facebook,https://www.facebook.com/photo?fbid=409533088643097&set=pcb.408901818706224,10,0,link
192,6559,5/3/2024,23:52:04,Facebook,https://www.facebook.com/photo/?fbid=409533131976426&set=pcb.408901818706224,10,0,link
